rat|三蛇七鼠|比喻为害的东西多
rat|胆小如鼠|形容非常胆小
rat|鼠窃狗盗|像老鼠小量窃取；像狗钻洞偷盗。指小偷小摸。
rat|过街老鼠|比喻人人痛恨的坏人
rat|捉鼠拿猫|捉住老鼠和猫，比喻能制服敌手
rat|鼠目寸光|形容目光短浅，没有远见
rat|鼠入牛角|未來的路越走越窄，沒有前景，比喻势力愈来愈小
rat|鼠肚鸡肠|比喻气量狭小，只考虑小事，不顾大体
rat|目光如鼠|形容人眼神奸滑
rat|鼠迹狐踪|比喻人行踪鬼祟。
ox|老牛舐犊|老牛舔小牛。比喻父母疼爱子女。
ox|对牛弹琴|讥笑听话的人不懂对方说的是什么。也用以讥笑说话的人不看对象。
ox|九牛二虎之力|比喻很大的力气。常用于很费力才做成一件事的场合。
ox|气喘如牛|指像牛一样大声地喘气
ox|牛毛细雨|指极细的小雨
ox|多如牛毛|像牛身上的的毛那样多，形容数量极多
ox|汗牛充栋|指用牛运书，牛要累得出汗；用屋子放书，要放满整个屋子。  形容藏书非常多。
ox|牛刀小试|意思是比喻有大本领的人，先在小事情上略展才能。
ox|九牛一毫|九条牛身上的一根毛。比喻极大数量中极微小的数量，微不足道。
ox|庖丁解牛|比喻经过反复实践，掌握了事物的客观规律，做事得心应手，运用自如。
tiger|照猫画虎|意思是猫与虎的外形有相似之处，因以喻照样模仿而仅得其仿佛
tiger|藏龙卧虎|指隐藏着未被发现的人才，也指隐藏不露的人才
tiger|调虎离山|设法使老虎离开原来的山冈, 比喻用计使对方离开原来的地方, 以便乘机行事
tiger|降龙伏虎|指用法力制服龙虎, 后比喻有极大的能力，能够战胜很强的对手或克服很大的困难
tiger|虎斗龙争|形容斗争或竞赛很激烈
tiger|狼吞虎咽|意思是形容吃东西又猛又急的样子
tiger|虎视眈眈|像老虎要扑食那样凶猛地注视着，准备随时攫取
tiger|虎口拔牙|从老虎嘴里拔牙。比喻做十分危险的事情。
tiger|将门虎子|意思是比喻父辈有才能，子孙也身手不凡；也指后生子弟不辱门庭
tiger|两虎相斗|意思是两只老虎相互争斗。比喻力量强大的双方 
rabbit|守株待兔|不知变通，死守教条
rabbit|玉兔银蟾|传说月亮中有广寒宫，宫中有玉兔和银蟾。故以此比喻天上的明月。
rabbit|乌飞兔走|乌：古代传说日中有三足乌，故称太阳为金乌；兔：古代传说中月中有玉兔，故称月亮为玉兔。形容光阴迅速流逝。
rabbit|兔死狐悲|意思是兔子和狐狸结成联盟共同对抗猎人，兔子死了狐狸因为失去盟友而悲伤。 后形容对同盟的死亡或不幸而伤心
rabbit|兔死狗烹|兔子死盡了，用來捕兔的獵狗因為失去了作用而被烹食。比喻事成之後，有功之人即遭到殺戮或見棄的命運。
rabbit|动如脱兔|比喻行动敏捷。
rabbit|兔起乌沉|指月出日落。
rabbit|见兔顾犬|看到了兔子，再回头叫唤猎狗去追捕。比喻动作虽稍迟，但赶紧想办法，还来得及。
rabbit|势若脱兔|意思是对敌人攻击的速度极快，就像脱逃的兔子奔跑那样
rabbit|狡兔三窟|狡猾的兔子准备好几个藏身的窝。比喻隐蔽的地方或方法多。
dragon|车水马龙|意思是车如流水，马如游龙一般
dragon|龙马精神|意思是比喻人旺盛的奋发向上的精神和样子
dragon|龙吟虎啸|象龙在鸣，虎在啸。比喻相关的事物互相感应。
dragon|攀龙附凤|指巴结投靠有权势的人以获取富贵。
dragon|龙飞凤舞|原形容山势的蜿蜒雄壮，后也形容书法笔势有力，灵活舒展。
dragon|龙潭虎穴|龙潜居的深水坑，老虎藏身的巢穴。比喻极险恶的地方。
dragon|鱼跃龙门|比喻举业成功或地位高升。
dragon|伏虎降龙|伏：屈服；降：用用威力使屈服。用威力使猛虎和恶龙屈服。形容力量强大，能战胜一切敌人和困难。
dragon|龙争虎斗|形容斗争或竞赛很激烈
dragon|画龙点晴|比喻写文章或讲话时，在关键处用几句话点明实质，使内容生动有力。
snake|杯弓蛇影|比喻因疑神疑鬼而引起恐惧
snake|打草惊蛇|比喻做法不谨慎，反使对方有所戒备
snake|虎头蛇尾|比喻开始时声势很大，到后来劲头很小，有始无终
snake|画蛇添足|比喻做了多余的事，非但无益，反而不合适
snake|一蛇吞象|一条蛇想吞吃一条大象。比喻人心不足，贪得无厌。
snake|引蛇出洞|比喻引诱坏人进行活动，使之暴露。
snake|佛口蛇心|比喻话虽说得好听，心肠却极狠毒
snake|蛇蝎心肠|形容心肠狠毒
snake|虚与委蛇|虚：假；委蛇：随便应顺。指对人虚情假意，敷衍应酬。
snake|牛鬼蛇神|泛指妖魔鬼怪，形容作品虚幻怪诞。比喻形形色色的坏人。
horse|天马行空|天马奔腾神速，象是腾起在空中飞行一样。比喻诗文气势豪放。也比喻人浮躁，不踏实。
horse|一马平川|地势平坦的地方。能够纵马疾驰的一片广阔平地。指广阔的平原。
horse|单枪匹马|原指打仗时一个人上阵。比喻行动没人帮助
horse|快马加鞭|跑得很快的马再加上一鞭子，使马跑得更快。比喻快上加快，加速前进。
horse|马到功成|形容事情顺利，一开始就取得胜利
horse|鞍马劳顿|形容旅途劳累
horse|人强马壮|形容军队的战斗力很强或军容很盛
horse|塞翁失马|比喻一时虽然受到损失，也许反而因此能得到好处
horse|马不停蹄|比喻不停顿地向前走。
horse|一马当先|形容领先。也比喻工作走在群众前面，积极带头
goat|亡羊补牢|比喻出了问题以后想办法补救，免得以后继续受损失
goat|羊肠九曲|羊肠：像羊肠一样崎岖曲折的小路。九曲：有许多曲折的地方，指河道曲折。形容崎岖曲折的小径和弯弯曲曲的河道。也指道路的艰难。
goat|羊落虎口|比喻处于险境，有死无生
goat|十羊九牧|十头羊倒用九个人放牧。比喻官多民少，赋税剥削很重。同： 僧多粥少
goat|顺手牵羊|顺手把人家的羊牵走。比喻趁势将敌手捉住或乘机利用别人。现比喻乘机拿走别人的东西。
goat|饿虎扑羊|象饥饿的老虎扑向食物一样。比喻动作猛烈而迅速
goat|羊头狗肉|比喻表里不一，明一套暗一套。
goat|虎荡羊群|老虎跑进羊群。比喻强大者冲入柔弱者中间任意砍杀。
goat|羊肠鸟道|意思是指山路狭窄，曲折而险峻
goat|羊质虎皮|羊虽然披上虎皮，还是见到草就喜欢，碰到豺狼就怕得发抖，它的本性没有变。比喻外表装作强大而实际上很胆小。
monkey|弄鬼掉猴|比喻调皮捣蛋。
